al_#,PON ID
10.679,PON.N29
15.669,PON.3Q
15.669,PON.N26
45.035,PON.102
45.035,PON.1E
45.035,PON.T18
12.114,PON.3ND
12.114,PON.3Q
12.114,PON.N28
10.945,PON.3Q
10.945,PON.N27
10.945,PON.205
10.944,PON.3Q
10.944,PON.N27
10.944,PON.205
15.541,PON.208
15.541,PON.T55
15.567,PON.11Q
15.567,PON.6Q
15.510,PON.208
11.436,PON.7Q
15.679,PON.N26
15.679,PON.N42
16.307,PON.127
16.307,PON.12P
20.232,PON.8C
20.232,PON.T34
20.243,PON.827
20.243,PON.T34
20.235,PON.827
20.235,PON.T34
12.225,PON.36
12.225,PON.868
10.194,PON.60
10.193,PON.60
10.051,PON.75
10.051,PON.N23
10.565,PON.365
10.565,PON.455
10.565,PON.624
93.1CF,PON.103
93.1CF,PON.15L
97.023,PON.50
14.259,PON.127
10.863,PON.104
10.863,PON.3C
14.233,PON.49
14.024,PON.835
14.023,PON.835
14.248,PON.117
14.248,PON.1C
14.246,PON.117
14.218,PON.117
14.218,PON.833
14.218,PON.1C
14.225,PON.117
14.225,PON.833
14.225,PON.1C
14.228,PON.117
14.228,PON.833
14.228,PON.1C
21.014,PON.11C
21.020,PON.866
21.020,PON.11C
21.035,PON.11C
44.002,PON.863
97.030,PON.49
12.614,PON.N50
12.610,PON.7ND
12.618,PON.5ND
12.618,PON.N50
12.607,PON.11B
12.003,PON.7ND
10.766,PON.10C
10.766,PON.1C
10.766,PON.3C
10.225,PON.365
10.225,PON.455
10.689,PON.7Q
93.495,PON.125
93.495,PON.N74
93.491,PON.11
93.491,PON.876
12.600,PON.3G
12.600,PON.N50
59.077,PON.635
59.077,PON.866
12.029,PON.7ND
93.00D,PON.897
93.00D,PON.873
93.00D,PON.876
93.137,PON.65
93.137,PON.876
20.534,PON.T36
17.289,PON.827
10.723,PON.N29
10.730,PON.N29
20.711,PON.827
20.711,PON.N6
93.569,PON.826
93.569,PON.829
93.569,PON.T73
93.570,PON.826
93.570,PON.5C
10.708,PON.869
10.708,PON.N73
16.047,PON.159
16.047,PON.T87
93.590,PON.145
16.045,PON.159
16.123,PON.159
20.266,PON.4J
20.266,PON.T34
20.266,PON.T36
15.081,PON.81
17.005,PON.T52
84.368,PON.96
84.368,PON.144
12.556,PON.57
12.556,PON.96
12.556,PON.N21
20.267,PON.5F
20.267,PON.9C
93.474,PON.103
93.474,PON.15L
93.474,PON.T125
93.476,PON.103
93.476,PON.15L
93.476,PON.T125
93.473,PON.103
93.473,PON.15L
93.473,PON.T125
93.480,PON.36
93.480,PON.15L
93.480,PON.T125
93.483,PON.N16
93.483,PON.N18
93.483,PON.N19
93.485,PON.N16
93.485,PON.N18
93.485,PON.N19
93.269,PON.50
66.305,PON.4J
66.305,PON.8Q
10.930,PON.1K
